Name,Title,Company,Youtube URL
Carol Carpenter,Chief Marketing Officer,VMware,https://www.youtube.com/watch?v=XRqdmnTV5o8
Tim Minihan,EVP of Strategy, Chief Marketing Officer,Citrix,https://www.youtube.com/watch?v=XhQElqVp6hA
Brian Reagan,CMO,Actifio,https://www.youtube.com/watch?v=SrEsTKDmgp0
John Maddison,CMO and EVP Products,Fortinet,https://www.youtube.com/watch?v=NeRWcb22zzE
Marissa Freeman,Chief Brand Officer,HPE,https://www.youtube.com/watch?v=AlZt-HBtSeg
Jim Jackson,CMO,HPE,https://www.youtube.com/watch?v=AlZt-HBtSeg
Danny Allan,CTO,Veeam,https://www.youtube.com/watch?v=oqtF2KgkUMw
Michelle Peluso,SVP Digital Sales & Chief Marketing Officer,IBM,https://www.youtube.com/watch?v=PtpNCBu-hN4
Peter Guagenti,Chief Marketing Officer,Cockroach Labs,https://www.youtube.com/watch?v=M_SkO9mYV2U
Bobby Patrick,CMO,UiPath,https://www.youtube.com/watch?v=9zS7q_z5K-Q
Brandon Nott,Senior Vice President of Product,UiPath,https://www.youtube.com/watch?v=SJFpjG_J6W0
Paul Forte,Chief Revenue Officer,Actifio,https://www.youtube.com/watch?v=4j2KKxBBLv4
Mani Dasgupta,VP Marketing,IBM,https://www.youtube.com/watch?v=tQ9X6XYMOHU
Maria Winanas,CMO, North America,IBM,https://www.youtube.com/watch?v=qhAY5tNikuI
Vittorio Viarengo,Interim CMO,McAfee,https://www.youtube.com/watch?v=thqcKGlovLM
Riadh Dridi,CMO,Automation Anywhere,https://www.youtube.com/watch?v=mwsWP9lxKrE
Karin Toubba,CEO,Kenna Security,https://www.youtube.com/watch?v=8NBAkJMA0sM
Caroline Japic,CMO,Kenna Security,https://www.youtube.com/watch?v=8NBAkJMA0sM
Eric Herzog,CMO & VP Global Channels,IBM Storage,https://www.youtube.com/watch?v=o-nsUQOrHTY
Eric Herzog,Chief Marketing Officer & VP of Global Storage Channels,IBM,https://www.youtube.com/watch?v=FRNxTBFsyfQ
Eric Herzog,CMO & VP of Global Storage Channels,IBM,https://www.youtube.com/watch?v=KZVJScVb3C4
Eric Herzog,CMO & VP Global Channels,IBM Storage,https://www.youtube.com/watch?v=FF2hNFY5PWA
Rick Vanover,Senior Director Product Strategy,Veeam,https://www.youtube.com/watch?v=ybSXkqKA0RQ
Jim Kruger,Chief Marketing Officer,Veeam,https://www.youtube.com/watch?v=ybSXkqKA0RQ
Lynn Lucas,CMO,Cohesity,https://www.youtube.com/watch?v=jjK51ry0CZY
Chandar Pattabhiram,CMO,Coupa,https://www.youtube.com/watch?v=yM2cpUc1vgY
Annie Weckesser,CMO,Uniphore,https://www.youtube.com/watch?v=RiobNN-i2dU
Rip Gerber,Chief Marketing and Innovation Officer,Vlocity,https://www.youtube.com/watch?v=orXRpTBggLQ
Carrie Palin,CMO,Splunk,https://www.youtube.com/watch?v=byYQYnypDsc
Scott Hebner,Vice President & CMO,IBM Data & AI,https://www.youtube.com/watch?v=AQw62zAq7Lw
Bobby Patrick,CMO,UiPath,https://www.youtube.com/watch?v=JHrhg9XcuRI
